""
epoch,train_loss,train_acc,test_acc
1,3.867437041933884,0.1039,0.1653
2,3.0784964646829667,0.231,0.278
3,2.4882191724484533,0.34618,0.3682
4,2.1027395920375422,0.4286,0.4457
5,1.8554487560716126,0.48478,0.4494
6,1.6927574369913476,0.52568,0.4986
7,1.5784064470349675,0.55494,0.466
8,1.4996842319703163,0.57124,0.4703
9,1.441473703860017,0.58746,0.5216
10,1.3677125452729442,0.60738,0.5227
11,1.3327004080233367,0.6182,0.5567
12,1.294377695264109,0.6288,0.5323
13,1.2611635851738092,0.63462,0.577
14,1.2364489039801576,0.63906,0.5353
15,1.2076216079389956,0.64968,0.5177
16,1.1845636155904102,0.6567,0.5575
17,1.1742260698467264,0.65764,0.5749
18,1.1480852472202858,0.66586,0.5364
19,1.1387257635440973,0.66828,0.5494
20,1.12302691628561,0.6722,0.5617
21,0.6882193001639813,0.79656,0.7128
22,0.5474756226667663,0.834,0.7239
23,0.480370598604612,0.85494,0.7119
24,0.42955475603528037,0.87028,0.7166
25,0.3961706689327879,0.87924,0.7138
26,0.3693399385875448,0.88546,0.7133
27,0.3537572932136638,0.8909,0.7119
28,0.33500643848153333,0.897,0.7005
29,0.3264172652645794,0.89946,0.6999
30,0.31213218983634355,0.90352,0.6991
31,0.3182790796165271,0.9014,0.6951
32,0.30378574609299147,0.9059,0.6966
33,0.2987387419280494,0.90902,0.6818
34,0.30322488868023123,0.90566,0.6707
35,0.3110995360118959,0.90406,0.6805
36,0.29174276416563927,0.91074,0.69
37,0.2885329200483649,0.9123,0.6922
38,0.2998109097447237,0.90638,0.6944
39,0.2968015108457612,0.90972,0.6719
40,0.2890366061645396,0.90922,0.6896
41,0.12654496465459505,0.96802,0.7434
42,0.07619091034735866,0.98466,0.7474
43,0.060802785493909856,0.98876,0.7489
44,0.051225110154856195,0.99204,0.7497
45,0.045874324062710525,0.99288,0.7517
46,0.041300491784768335,0.99428,0.755
47,0.036982913056145546,0.99532,0.7535
48,0.032821424343549385,0.9966,0.7534
49,0.03176733257148958,0.99656,0.7534
50,0.029730593902356637,0.99656,0.7519
