""
epoch,train_loss,train_acc,test_acc
1,3.9569669678388046,0.0893,0.1501
2,3.3897185612212666,0.17544,0.2035
3,2.973108247113045,0.24864,0.285
4,2.6212036012078794,0.31784,0.3606
5,2.351846573602818,0.37576,0.3949
6,2.1642072716027574,0.41946,0.4408
7,2.0367769420604267,0.445,0.4521
8,1.9247743147413443,0.47332,0.448
9,1.87206362641376,0.48516,0.4924
10,1.7914541923176601,0.50338,0.4944
11,1.7476607573306775,0.51656,0.5201
12,1.6956645512519894,0.53022,0.5278
13,1.6676917097452657,0.5342,0.4925
14,1.6376585795751313,0.54366,0.5111
15,1.619924760840433,0.54638,0.5018
16,1.5963474829178637,0.55362,0.5574
17,1.5762026389236645,0.55872,0.5231
18,1.544176473032178,0.5678,0.4904
19,1.5404566834344888,0.57128,0.5436
20,1.5283469047082965,0.57058,0.5006
21,1.1002464892004458,0.6819,0.6968
22,0.9782533339222373,0.71436,0.7033
23,0.928229275414401,0.7273,0.7005
24,0.8893017439586123,0.73452,0.7054
25,0.8537889876024193,0.74668,0.7048
26,0.8379937056690225,0.74884,0.6987
27,0.8275996797987263,0.75318,0.7072
28,0.8118525650495153,0.75762,0.7032
29,0.8011156264168527,0.76018,0.6854
30,0.7888580357936947,0.7627,0.6831
31,0.7925152017179963,0.763,0.6833
32,0.7658491184949265,0.76864,0.6848
33,0.7664418673271414,0.76982,0.6928
34,0.7583614951356903,0.7727,0.6869
35,0.7479285393529536,0.77358,0.6854
36,0.7517227532766054,0.77682,0.6822
37,0.7271305582559932,0.7833,0.6711
38,0.7243122626905856,0.78108,0.6859
39,0.7222269890863268,0.78272,0.6931
40,0.7082751858264894,0.78678,0.695
41,0.4768872720658627,0.85936,0.7481
42,0.39987034245830055,0.88552,0.7524
43,0.3593176093019183,0.89628,0.7535
44,0.33699243510013344,0.90344,0.7534
45,0.32299872367735716,0.90756,0.7532
46,0.3089559463512562,0.91292,0.7553
47,0.2902611380114275,0.91774,0.7534
48,0.27711964168054676,0.92228,0.7523
49,0.27474799172957537,0.9225,0.7544
50,0.25861472731737223,0.92708,0.7536
