""
epoch,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
1,3.9135619344003976,0.09728,0.158
2,3.2155169446754943,0.20738,0.2649
3,2.6645694913156808,0.31326,0.3439
4,2.239352395162558,0.39996,0.423
5,1.9686769588524118,0.46222,0.432
6,1.776440733229108,0.5062,0.492
7,1.6483765117957463,0.53846,0.5069
8,1.5563123342021348,0.55916,0.4856
9,1.4960718319544097,0.57416,0.5231
10,1.4253771789848346,0.59254,0.5085
11,1.3720308337979914,0.60622,0.5426
12,1.3342364657565455,0.61798,0.5563
13,1.296236382878345,0.62612,0.5473
14,1.2694666281990383,0.634,0.5596
15,1.2406465934060724,0.64126,0.5611
16,1.2181458732356196,0.64768,0.5614
17,1.1940659967529805,0.65314,0.5157
18,1.180145149035832,0.65722,0.5796
19,1.1614123710890865,0.66142,0.567
20,1.134430024172644,0.6691,0.569
21,1.127867395463197,0.67178,0.5748
22,1.1166171343125346,0.6755,0.5508
23,1.1010557269806143,0.67888,0.5895
24,1.0906895460070247,0.68072,0.5842
25,1.0862410765169832,0.68268,0.5442
26,1.0762570166526852,0.68476,0.6114
27,1.0640269546862453,0.68818,0.5819
28,1.063852016883128,0.68754,0.583
29,1.053932345736667,0.69098,0.5856
30,1.0419897392887594,0.69354,0.582
31,1.0396925979258154,0.69512,0.6082
32,1.0348512972407329,0.6948,0.5984
33,1.030130466079468,0.69576,0.5894
34,1.0183868449362343,0.70104,0.5716
35,1.028220832957636,0.69812,0.5854
36,1.016637953955804,0.70164,0.5753
37,1.0109426086516027,0.70288,0.5732
38,1.003346940745478,0.70536,0.5892
39,1.0124655381188064,0.70194,0.5763
40,0.996878259169781,0.70652,0.5721
41,1.0003398931239877,0.70532,0.6034
42,0.9870264139931525,0.70972,0.5818
43,0.9927192196211851,0.70672,0.564
44,0.9797407403931289,0.71096,0.6032
45,0.9910730888776462,0.70886,0.5852
46,0.9795482074818038,0.71048,0.5909
47,0.9768938865807965,0.71356,0.58
48,0.9733348007092391,0.71146,0.595
49,0.9758827895154734,0.71378,0.5905
50,0.963239181681972,0.71676,0.5904
