""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
1,3.9903858939704993,0.08498,0.1458
2,3.4040775628346007,0.1738,0.2302
3,2.9813479304008776,0.24808,0.2757
4,2.6581521948890003,0.31332,0.3371
5,2.4029577260127155,0.3648,0.3892
6,2.228438417015173,0.40402,0.4108
7,2.0870275567559635,0.43606,0.4727
8,1.9899252701903243,0.45744,0.4632
9,1.9018888592415149,0.4785,0.4722
10,1.8318856430175665,0.49766,0.4735
11,1.7837862812954446,0.50892,0.5262
12,1.7314131290406523,0.52208,0.5186
13,1.6914013374187147,0.52928,0.5197
14,1.6627651998758926,0.53554,0.5291
15,1.6356527762644737,0.54302,0.5271
16,1.609130634371277,0.5509,0.4771
17,1.5942762977326923,0.55362,0.4838
18,1.5618541466305629,0.56176,0.559
19,1.5564697188184695,0.56538,0.5228
20,1.5291150540037228,0.57256,0.5571
21,1.5240095042816513,0.57246,0.5392
22,1.51494589333644,0.57712,0.5458
23,1.5008913488949047,0.57878,0.5522
24,1.4871024170799938,0.58106,0.5048
25,1.4766101285319804,0.58446,0.5762
26,1.4787317810156155,0.58472,0.5639
27,1.4624881415111024,0.58808,0.5689
28,1.4619691899365477,0.58734,0.5617
29,1.443118469489505,0.59224,0.5409
30,1.4383364196323678,0.59348,0.5907
31,1.433420191030673,0.59454,0.5115
32,1.426258732290829,0.596,0.5655
33,1.4248222792544938,0.59738,0.561
34,1.418554558778358,0.6009,0.5404
35,1.4187812184738686,0.60162,0.5634
36,1.403176780094576,0.60496,0.5797
37,1.4076791727329458,0.60242,0.5844
38,1.4004163345717409,0.60678,0.5622
39,1.404759527472279,0.6049,0.5607
40,1.3951722328620189,0.60616,0.5728
41,1.3928423717503657,0.60764,0.576
42,1.3889203025861774,0.60656,0.5863
43,1.3923767646560279,0.60722,0.576
44,1.3752034183048532,0.61466,0.5762
45,1.3854936980225545,0.60932,0.5717
46,1.3814091767801349,0.61022,0.6024
47,1.3717630028419787,0.6135,0.559
48,1.3738598393662202,0.61074,0.5783
49,1.369032128692588,0.61518,0.5975
50,1.3533657973684619,0.61882,0.5262
